date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:49	110/110	---M-Z	200	added ('OK')	text/plain	date:Thu,%2005%20Mar%202026%2014:46:48%20GMT	https://relearning.tech/robots.txt		(from )
21:46:50	93304/93304	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2014:46:49%20GMT	https://relearning.tech/	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/index.html	(from )
21:46:51	2422/2422	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Mar%202026%2014:46:50%20GMT	https://relearning.tech/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frelearning.tech%2F	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/wp-json/oembed/1.0/embed7080.json	(from https://relearning.tech/)
21:46:51	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2014:46:51%20GMT	https://fonts.gstatic.com/	/home/cusniwtt/Documents/websites/relearning-website/fonts.gstatic.com/index.html	(from https://relearning.tech/)
21:46:51	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Mar%202026%2014:46:51%20GMT	https://fonts.googleapis.com/	/home/cusniwtt/Documents/websites/relearning-website/fonts.googleapis.com/index.html	(from https://relearning.tech/)
21:46:51	2636/2636	---M-Z	200	added ('OK')	text/xml	date:Thu,%2005%20Mar%202026%2014:46:51%20GMT	https://relearning.tech/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frelearning.tech%2F&format=xml	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/wp-json/oembed/1.0/embed4453	(from https://relearning.tech/)
21:46:52	25357/25357	---M-Z	200	added ('OK')	application/rss+xml	etag:%227b7e6a1c9b7fa1ff426d56499d46b984-gzip%22	https://relearning.tech/feed/	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/feed/index.html	(from https://relearning.tech/)
21:46:52	826/826	---M-Z	200	added ('OK')	application/rss+xml	etag:%227b7e6a1c9b7fa1ff426d56499d46b984-gzip%22	https://relearning.tech/comments/feed/	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/comments/feed/index.html	(from https://relearning.tech/)
21:46:52	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2218f49-64bf3ffaed516-gzip%22	https://relearning.tech/wp-content/plugins/the-post-grid/assets/vendor/font-awesome/css/font-awesome.min.css?ver=7.8.9	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/wp-content/plugins/the-post-grid/assets/vendor/font-awesome/css/font-awesome.min883c.css	(from https://relearning.tech/)
21:46:53	156068/156068	---M-Z	200	added ('OK')	text/css	etag:%22261a4-64bf3ffae5816-gzip%22	https://relearning.tech/wp-content/plugins/the-post-grid/assets/css/thepostgrid.min.css?ver=7.8.9	/home/cusniwtt/Documents/websites/relearning-website/relearning.tech/wp-content/plugins/the-post-grid/assets/css/thepostgrid.min883c.css	(from https://relearning.tech/)
